Time,Aeon Motion,Aeon Temp,Aeon Lum,Aeon Hum,
1433955604,1,23.80,289.00,22.00,
1433955610,1,23.80,290.00,22.00,
1433955616,1,23.80,295.00,22.00,
1433955623,1,23.80,289.00,22.00,
1433955629,1,23.80,293.00,22.00,
1433955635,1,23.80,293.00,22.00,
1433955642,1,23.80,299.00,22.00,
1433955648,1,23.80,304.00,22.00,
1433955653,1,23.80,307.00,22.00,
1433955660,1,23.80,297.00,22.00,
1433955667,1,23.90,294.00,22.00,
1433955672,1,23.80,303.00,22.00,
1433955678,1,23.80,302.00,22.00,
1433955684,1,23.80,292.00,22.00,
1433955691,1,23.90,296.00,22.00,
1433955696,1,23.90,301.00,22.00,
1433955701,1,23.90,307.00,22.00,
1433955707,1,23.90,307.00,22.00,
1433955713,1,23.90,301.00,22.00,
1433955719,1,23.90,299.00,22.00,
1433955724,1,23.90,299.00,22.00,
1433955729,1,23.90,304.00,22.00,
1433955735,1,23.90,296.00,22.00,
1433955741,1,23.90,312.00,22.00,
1433955747,1,23.90,295.00,22.00,
1433955752,1,23.90,301.00,22.00,
1433955758,1,23.80,305.00,22.00,
1433955764,1,23.80,306.00,22.00,
1433955770,1,23.80,302.00,22.00,
1433955776,1,23.80,299.00,22.00,
1433955781,1,23.80,310.00,22.00,
1433955786,1,23.90,307.00,22.00,
1433955792,1,23.90,304.00,22.00,
1433955797,1,23.90,298.00,22.00,
1433955803,1,23.90,297.00,22.00,
1433955808,1,23.80,297.00,22.00,
1433955813,1,23.80,305.00,22.00,
1433955820,1,23.80,312.00,22.00,
1433955825,1,23.80,306.00,22.00,
1433955832,1,23.80,299.00,22.00,
1433955838,1,23.80,307.00,22.00,
1433955843,1,23.80,299.00,22.00,
1433955848,1,23.80,312.00,22.00,
1433955854,1,23.80,303.00,22.00,
1433955859,1,23.80,308.00,22.00,
1433955865,1,23.80,306.00,22.00,
1433955870,1,23.80,312.00,22.00,
1433955876,1,23.80,308.00,22.00,
1433955881,1,23.80,301.00,22.00,
1433955887,1,23.80,307.00,22.00,
1433955892,1,23.80,302.00,22.00,
1433955898,1,23.80,305.00,22.00,
1433955903,1,23.80,311.00,22.00,
1433955909,1,23.80,304.00,22.00,
1433955914,1,23.80,309.00,22.00,
1433955919,1,23.80,304.00,22.00,
1433955925,1,23.80,309.00,22.00,
1433955931,1,23.80,307.00,22.00,
1433955936,1,23.80,306.00,22.00,
1433955941,1,23.80,301.00,22.00,
1433955947,1,23.80,305.00,22.00,
1433955952,1,23.80,310.00,22.00,
1433955958,1,23.80,314.00,22.00,
1433955963,1,23.80,306.00,22.00,
1433955969,1,23.80,313.00,22.00,
1433955975,1,23.80,313.00,22.00,
1433955980,1,23.80,306.00,22.00,
1433955986,1,23.80,299.00,22.00,
1433955991,1,23.80,309.00,22.00,
1433955996,1,23.80,305.00,22.00,
1433956002,1,23.80,318.00,22.00,
1433956007,1,23.80,310.00,22.00,
1433956013,1,23.80,310.00,22.00,
1433956020,1,23.80,305.00,22.00,
1433956026,1,23.80,307.00,22.00,
1433956031,1,23.80,306.00,22.00,
1433956037,1,23.80,311.00,22.00,
1433956042,1,23.80,312.00,22.00,
1433956049,1,23.90,310.00,22.00,
1433956055,1,23.80,311.00,22.00,
1433956061,1,23.90,309.00,22.00,
1433956066,1,23.80,309.00,22.00,
1433956071,1,23.80,312.00,22.00,
1433956077,1,23.90,310.00,22.00,
1433956082,1,23.90,318.00,22.00,
1433956087,1,23.80,314.00,22.00,
1433956094,1,23.90,317.00,22.00,
1433956099,1,23.90,319.00,22.00,
1433956105,1,23.80,320.00,22.00,
1433956110,1,23.90,319.00,22.00,
1433956116,1,23.90,317.00,22.00,
1433956121,1,23.90,318.00,22.00,
1433956126,1,23.90,316.00,22.00,
1433956132,1,23.90,319.00,22.00,
1433956137,1,23.90,309.00,22.00,
1433956142,1,23.90,314.00,22.00,
1433956148,1,23.80,312.00,22.00,
1433956154,1,23.80,319.00,22.00,
1433956160,1,23.90,312.00,22.00,
1433956165,1,23.90,312.00,22.00,
1433956171,1,23.90,313.00,22.00,
1433956176,1,23.90,314.00,22.00,
1433956182,1,23.90,322.00,22.00,
1433956187,1,23.90,312.00,22.00,
1433956193,1,23.90,322.00,22.00,
1433956198,1,23.90,319.00,22.00,
1433956204,1,23.90,309.00,22.00,
1433956210,1,23.90,322.00,22.00,
1433956215,1,23.90,321.00,22.00,
1433956221,1,23.90,321.00,22.00,
1433956227,1,23.90,317.00,22.00,
1433956232,1,23.80,315.00,22.00,
1433956238,1,23.90,317.00,22.00,
1433956244,1,23.90,321.00,22.00,
1433956249,1,23.90,316.00,22.00,
1433956255,1,23.90,312.00,22.00,
1433956261,1,23.90,311.00,22.00,
1433956266,1,23.90,313.00,22.00,
1433956271,1,23.90,310.00,22.00,
1433956277,1,23.90,316.00,22.00,
1433956282,1,23.90,310.00,22.00,
1433956287,1,23.90,316.00,22.00,
1433956293,1,23.80,319.00,22.00,
1433956298,1,23.80,323.00,22.00,
1433956303,1,23.80,320.00,22.00,
1433956309,1,23.90,321.00,22.00,
1433956314,1,23.90,325.00,22.00,
1433956320,1,23.90,321.00,22.00,
1433956325,1,23.90,325.00,22.00,
1433956331,1,23.90,324.00,22.00,
1433956336,1,23.90,318.00,22.00,
1433956342,1,23.90,318.00,22.00,
1433956347,1,23.90,323.00,22.00,
1433956353,1,23.90,316.00,22.00,
1433956358,1,23.90,318.00,22.00,
1433956364,1,24.00,315.00,22.00,
1433956370,1,23.80,316.00,22.00,
1433956375,1,23.80,325.00,22.00,
1433956381,1,23.80,321.00,22.00,
1433956387,1,23.90,319.00,22.00,
1433956393,1,23.90,321.00,22.00,
1433956398,1,23.90,325.00,22.00,
1433956404,1,23.90,327.00,22.00,
1433956410,1,23.90,327.00,22.00,
1433956415,1,23.90,316.00,22.00,
1433956420,1,23.90,328.00,22.00,
1433956426,1,23.90,318.00,22.00,
1433956432,1,23.90,326.00,22.00,
1433956437,1,23.90,323.00,22.00,
1433956444,1,23.90,323.00,22.00,
1433956449,1,23.90,312.00,22.00,
1433956455,1,23.90,325.00,22.00,
1433956461,1,23.90,317.00,22.00,
1433956466,1,23.90,326.00,22.00,
1433956472,1,23.90,319.00,22.00,
1433956477,1,23.90,326.00,22.00,
1433956483,1,23.90,327.00,22.00,
1433956489,1,23.90,324.00,22.00,
1433956495,1,23.90,318.00,22.00,
1433956500,1,23.90,324.00,22.00,
1433956505,1,23.90,318.00,22.00,
1433956512,1,23.90,326.00,22.00,
1433956517,1,23.90,324.00,22.00,
1433956523,1,23.90,322.00,22.00,
1433956529,1,23.90,329.00,22.00,
1433956534,1,23.90,322.00,22.00,
1433956540,1,23.90,331.00,22.00,
1433956547,1,23.90,329.00,22.00,
1433956552,1,23.90,324.00,22.00,
1433956557,1,23.90,329.00,22.00,
1433956563,1,23.90,320.00,22.00,
1433956568,1,23.90,316.00,22.00,
1433956574,1,23.90,325.00,22.00,
1433956580,1,23.80,332.00,22.00,
1433956585,1,23.90,325.00,22.00,
1433956591,1,23.90,325.00,22.00,
1433956596,1,23.90,322.00,22.00,
1433956603,1,23.90,331.00,22.00,
1433956609,1,23.90,324.00,22.00,
1433956616,1,23.90,332.00,22.00,
1433956622,1,23.90,329.00,22.00,
1433956628,1,23.90,324.00,22.00,
1433956633,1,23.90,339.00,22.00,
1433956639,1,23.90,334.00,22.00,
1433956644,1,23.90,328.00,22.00,
1433956650,1,23.90,323.00,22.00,
1433956656,1,23.90,326.00,22.00,
1433956661,1,24.00,321.00,22.00,
1433956667,1,23.90,330.00,22.00,
1433956672,1,23.90,328.00,22.00,
1433956678,1,23.90,333.00,22.00,
1433956683,1,23.90,330.00,22.00,
1433956689,1,23.90,328.00,22.00,
1433956694,1,23.90,336.00,22.00,
1433956701,1,23.90,339.00,22.00,
1433956707,1,23.90,328.00,22.00,
1433956713,1,23.90,328.00,22.00,
1433956718,1,23.90,337.00,22.00,
1433956723,1,23.90,324.00,22.00,
1433956729,1,24.00,331.00,22.00,
