Time,Aeon Motion,Aeon Temp,Aeon Lum,Aeon Hum,
1433863728,0,23.10,200.00,22.00,
1433863734,0,23.20,200.00,22.00,
1433863739,0,23.20,200.00,22.00,
1433863745,0,23.20,200.00,22.00,
1433863750,0,23.20,200.00,22.00,
1433863756,0,23.10,200.00,22.00,
1433863762,0,23.10,200.00,22.00,
1433863767,0,23.10,200.00,22.00,
1433863773,0,23.10,200.00,22.00,
1433863778,0,23.10,201.00,22.00,
1433863784,0,23.10,201.00,22.00,
1433863789,0,23.10,201.00,22.00,
1433863794,0,23.10,201.00,22.00,
1433863800,0,23.10,201.00,22.00,
1433863806,0,23.00,202.00,22.00,
1433863812,0,23.00,202.00,22.00,
1433863817,0,23.10,202.00,22.00,
1433863822,0,23.10,201.00,22.00,
1433863828,0,23.10,201.00,22.00,
1433863834,0,23.10,201.00,22.00,
1433863839,0,23.00,201.00,22.00,
1433863845,0,23.10,201.00,22.00,
1433863851,0,23.10,200.00,22.00,
1433863856,0,23.10,201.00,22.00,
1433863861,0,23.10,200.00,22.00,
1433863867,0,23.10,200.00,22.00,
