Time,Aeon Motion,Aeon Temp,Aeon Lum,Aeon Hum,
1433905201,0,24.50,100.00,22.00,
1433905208,0,24.50,102.00,22.00,
1433905213,0,24.50,100.00,22.00,
1433905219,0,24.50,97.00,22.00,
1433905226,0,24.50,95.00,22.00,
1433905232,0,24.50,96.00,22.00,
1433905238,0,24.50,99.00,22.00,
1433905244,0,24.50,101.00,22.00,
1433905249,0,24.40,97.00,22.00,
1433905255,0,24.50,99.00,22.00,
1433905260,0,24.50,96.00,22.00,
1433905266,0,24.50,95.00,22.00,
1433905271,0,24.50,97.00,22.00,
1433905277,0,24.40,100.00,22.00,
1433905283,0,24.40,96.00,22.00,
1433905288,0,24.40,94.00,22.00,
1433905294,0,24.50,96.00,22.00,
1433905301,0,24.50,96.00,22.00,
1433905306,0,24.50,97.00,22.00,
1433905312,0,24.50,97.00,22.00,
1433905318,0,24.50,97.00,22.00,
1433905324,0,24.50,98.00,22.00,
1433905329,0,24.50,96.00,22.00,
1433905335,0,24.50,94.00,22.00,
1433905340,0,24.50,99.00,22.00,
1433905346,0,24.50,97.00,22.00,
1433905352,0,24.50,99.00,22.00,
1433905358,0,24.50,99.00,22.00,
1433905363,0,24.50,96.00,22.00,
1433905369,0,24.50,98.00,22.00,
1433905374,0,24.50,94.00,22.00,
1433905379,0,24.50,94.00,22.00,
1433905385,0,24.50,97.00,22.00,
1433905391,0,24.60,94.00,22.00,
1433905397,0,24.50,95.00,22.00,
1433905403,0,24.50,99.00,22.00,
1433905408,0,24.50,97.00,22.00,
1433905414,0,24.40,97.00,22.00,
1433905420,0,24.40,99.00,22.00,
1433905425,0,24.40,95.00,22.00,
1433905431,0,24.40,94.00,22.00,
1433905436,0,24.40,94.00,22.00,
1433905442,0,24.40,95.00,22.00,
1433905447,0,24.40,97.00,22.00,
1433905452,0,24.40,100.00,22.00,
1433905459,0,24.40,98.00,22.00,
1433905464,0,24.40,95.00,22.00,
1433905470,0,24.40,100.00,22.00,
1433905476,0,24.40,100.00,22.00,
1433905481,0,24.30,94.00,22.00,
1433905486,0,24.30,96.00,22.00,
1433905492,0,24.40,99.00,22.00,
1433905497,0,24.30,93.00,22.00,
1433905502,0,24.30,100.00,22.00,
1433905508,0,24.30,100.00,22.00,
1433905515,0,24.40,95.00,22.00,
1433905520,0,24.40,101.00,22.00,
1433905526,0,24.40,98.00,22.00,
1433905531,0,24.40,95.00,22.00,
1433905537,0,24.40,98.00,22.00,
1433905542,0,24.40,98.00,22.00,
1433905547,0,24.40,101.00,22.00,
1433905553,0,24.40,100.00,22.00,
1433905558,0,24.40,96.00,22.00,
1433905563,0,24.40,98.00,22.00,
1433905570,0,24.40,96.00,22.00,
1433905575,0,24.40,98.00,22.00,
1433905580,0,24.40,98.00,22.00,
1433905586,0,24.30,101.00,22.00,
1433905591,0,24.30,98.00,22.00,
1433905596,0,24.30,95.00,22.00,
1433905602,0,24.30,100.00,22.00,
1433905607,0,24.30,93.00,22.00,
1433905613,0,24.30,99.00,22.00,
1433905618,0,24.30,96.00,22.00,
1433905624,0,24.30,100.00,22.00,
1433905630,0,24.30,95.00,22.00,
1433905635,0,24.40,100.00,22.00,
1433905641,0,24.30,101.00,22.00,
1433905647,0,24.30,100.00,22.00,
1433905652,0,24.30,94.00,22.00,
1433905657,0,24.30,99.00,22.00,
1433905663,0,24.40,97.00,22.00,
1433905669,0,24.40,96.00,22.00,
1433905674,0,24.40,98.00,22.00,
1433905680,0,24.40,97.00,22.00,
1433905686,0,24.40,96.00,22.00,
1433905691,0,24.40,95.00,22.00,
1433905697,0,24.40,95.00,22.00,
1433905702,0,24.40,98.00,22.00,
1433905708,0,24.40,98.00,22.00,
1433905713,0,24.40,95.00,22.00,
1433905719,0,24.40,96.00,22.00,
1433905724,0,24.40,96.00,22.00,
1433905729,0,24.40,94.00,22.00,
1433905735,0,24.40,96.00,22.00,
1433905741,0,24.40,97.00,22.00,
1433905746,0,24.30,99.00,22.00,
1433905752,0,24.30,97.00,22.00,
1433905757,0,24.30,100.00,22.00,
1433905763,0,24.30,99.00,22.00,
1433905768,0,24.30,97.00,22.00,
1433905774,0,24.30,97.00,22.00,
1433905779,0,24.30,98.00,22.00,
1433905784,0,24.30,97.00,22.00,
1433905790,0,24.30,100.00,22.00,
1433905796,0,24.30,95.00,22.00,
1433905802,0,24.30,93.00,22.00,
1433905808,0,24.30,96.00,22.00,
1433905813,0,24.30,99.00,22.00,
1433905818,0,24.20,99.00,22.00,
1433905824,0,24.20,96.00,22.00,
1433905829,0,24.20,97.00,22.00,
1433905835,0,24.20,97.00,22.00,
1433905841,0,24.20,95.00,22.00,
1433905846,0,24.20,98.00,22.00,
1433905851,0,24.20,94.00,22.00,
